Name,District,Transportation
Khaira,Dang,"From Kathmandu, drive southwest via Mahendra Highway and Dang District roads to Khaira village."
Bangaun,Dang,"From Kathmandu, drive southwest via Mahendra Highway and Dang District roads to Bangaun."
Narayanpur,Dang,"From Kathmandu, drive southwest via Mahendra Highway and local roads to Narayanpur."
Nayagaun,Dang,"From Kathmandu, drive southwest via Mahendra Highway and Dang District roads to Nayagaun."
Okharkot,Pyuthan,"From Kathmandu, drive west via Prithvi Highway and local hill roads to Okharkot."
Bandikot,Pyuthan,"From Kathmandu, drive west via Prithvi Highway and hill roads to Bandikot."
Mayalpokhari,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to reach Mayalpokhari."
Sirseni,Dang,"From Kathmandu, drive southwest via Mahendra Highway to Dang District to reach Sirseni."
Dhamir,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Dhamir."
Arje,Rolpa,"From Kathmandu, drive west via Prithvi Highway and local roads to Arje village."
Chhapahile,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Chhapahile."
Neta,Rolpa,"From Kathmandu, drive west via Prithvi Highway and local roads to Neta village."
Gwalichaur,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Gwalichaur."
Malagiri,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Malagiri."
Narikot,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Narikot."
Majhakot,Rolpa,"From Kathmandu, drive west via Prithvi Highway and local roads to Majhakot."
Loharpani,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Loharpani."
Syuja,Rolpa,"From Kathmandu, drive southwest via Mahendra Highway and local roads to Syuja."
Tripur,Rolpa,"From Kathmandu, drive southwest via Mahendra Highway and local roads to Tripur."
Manpur,Rolpa,"From Kathmandu, drive southwest via Mahendra Highway and Dang District roads to Manpur."
Phulbari,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Dang District roads to Phulbari."
Goltakuri,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Dang District roads to Goltakuri."
Bejapur,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Bejapur."
Narainapur,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Narainapur."
Matahiya,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Matahiya."
Gangapur,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Gangapur."
Holiya,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Holiya."
Betahani,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Betahani."
Puraina,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Puraina."
Nepalgunj,Banke,"From Kathmandu, drive southwest via Mahendra Highway to reach Nepalgunj in Banke District."
Kalika,Banke,"From Kathmandu, drive southwest via Mahendra Highway to Kalika village in Banke District."
Munalbasti,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Banke District roads to Munalbasti."
Ganeshpur,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Banke District roads to Ganeshpur."
Mahamadpur,Banke,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Mahamadpur."
Gulariya,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway to Gulariya in Bardiya District."
Aashapur Pakadia,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Aashapur Pakadia."
Bansagadhi,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Bansagadhi."
Baniyabhar,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Baniyabhar."
Padanaha,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Padanaha."
Bela,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Bela."
Dhodhari,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Dhodhari."
Suryapatawa,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Suryapatawa."
Khairi Chandanpur,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Khairi Chandanpur."
Manau,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Manau."
Kohalpur,Banke,"From Kathmandu, drive southwest via Mahendra Highway to reach Kohalpur in Banke District."
Babai,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Babai."
Kabhrechaur,Bardiya,"From Kathmandu, drive west via Prithvi Highway to reach Kabhrechaur."
Sahare,Bardiya,"From Kathmandu, drive west via Prithvi Highway to reach Sahare village."
Dasarathpur,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Banke/Bardiya District roads to Dasarathpur."
Ramghat,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway to Ramghat area."
Satakhani,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and local Bardiya roads to Satakhani."
Uttarganga,Bardiya,"From Kathmandu, drive southwest via Mahendra Highway and Bardiya District roads to Uttarganga."
Hariharpur,Bardiya,"From Kathmandu, drive west via Mahendra Highway to reach Hariharpur in Bardiya District."
Ranighat,Bardiya,"From Kathmandu, drive west via Mahendra Highway to Ranighat in Nawalparasi District."
Sunwal,Nawalparasi,"From Kathmandu, drive west via Prithvi Highway and Mahendra Highway to Sunwal in Nawalparasi District."
Siddharthanagar,Kapilvastu,"From Kathmandu, drive west via Mahendra Highway to Siddharthanagar in Rupandehi District."
Bisunpura,Kapilvastu,"From Kathmandu, drive west via Mahendra Highway to Bisunpura in Bardiya District."
Rudrapur,Kapilvastu,"From Kathmandu, drive west via Mahendra Highway to reach Rudrapur in Bardiya District."
Balarampur,Kapilvastu,"From Kathmandu, drive west via Mahendra Highway to Balarampur in Bardiya District."
Limi,Humla,"From Kathmandu, fly to Simikot and trek northwest to reach Limi Valley."
Hepka,Humla,"From Kathmandu, fly to Simikot and trek northwest through Limi to reach Hepka."
Muchu,Humla,"From Kathmandu, fly to Simikot and trek through Limi Valley to reach Muchu."
Simikot,Humla,"From Kathmandu, take a domestic flight to Simikot in Humla District."
Raha,Dolpa,"From Kathmandu, fly to Simikot and trek to Raha in Humla District."
Bhandarlek,Jajarkot,"From Kathmandu, fly to Simikot and trek to Bhandarlek in Humla District."
Kharpunath,Humla,"From Kathmandu, fly to Simikot and trek to Kharpunath area in Humla District."
Mangri,Mugu,"From Kathmandu, fly to Simikot and trek to Mangri in Humla District."
Mugu,Mugu,"From Kathmandu, drive or fly to Gamgadi and then travel locally to Mugu District."
Shreenagar,Surkhet,"From Kathmandu, drive or fly to Mugu District and then reach Shreenagar via local roads."
Maila,Surkhet,"From Kathmandu, drive or fly to Mugu District and reach Maila via local trails."
Birat,Dailekh,"From Kathmandu, drive or fly to Mugu District and then travel locally to Birat village."
Kalai,Dailekh,"From Kathmandu, drive or fly to Mugu District and reach Kalai via local roads."
Rara,Mugu,"From Kathmandu, fly to Nepalgunj, then take a domestic flight to Talcha Airport to reach Rara Lake."
Chandannath,Dailekh,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Chandannath in Jumla District."
Shey Phoksundo NP,Dolpa,"From Kathmandu, fly to Nepalgunj, then to Juphal Airport and trek to Shey Phoksundo National Park."
Kanjeralwa,Dailekh,"From Kathmandu, fly to Talcha Airport and trek to Kanjeralwa in Mugu District."
Phoksundo,Dolpa,"From Kathmandu, fly to Nepalgunj, then Talcha Airport and trek to Phoksundo Lake."
Dho,Dolpa,"From Kathmandu, fly to Nepalgunj and then Talcha Airport, followed by trekking to Dho village."
Lawan,Humla,"From Kathmandu, fly to Nepalgunj, then Talcha Airport and trek to Lawan village."
Jufai,Humla,"From Kathmandu, fly to Nepalgunj and Talcha Airport, then trek to Jufai village."
Dunai,Dolpa,"From Kathmandu, fly to Dhangadhi or Nepalgunj, then travel by road to Dunai in Dolpa District."
Hiunchuli,Humla,"From Kathmandu, drive or trek via Pokhara to Annapurna Base Camp area to view Hiunchuli."
Sakala,Humla,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Sakala village."
Guthichaur,Dailekh,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Guthichaur in Jumla District."
Manma,Kalikot,"From Kathmandu, fly to Nepalgunj and then to Talcha Airport or road to reach Manma in Kalikot District."
Saldang,Dolpa,"From Kathmandu, fly to Nepalgunj, then drive and trek via Rara and Dolpa regions to Saldang."
Tinje,Dolpa,"From Kathmandu, fly to Nepalgunj or Simikot and trek to Tinje in Dolpa District."
Bhalu Lek,Dailekh,"From Kathmandu, fly to Nepalgunj, then to Talcha Airport, and trek to Bhalu Lek."
Dullu,Dailekh,"From Kathmandu, drive west via Prithvi Highway and Karnali Highway to Dullu in Dailekh District."
Narayan Municipality,Dailekh,"From Kathmandu, drive west via Prithvi Highway and Karnali Highway to reach Narayan Municipality in Dailekh District."
Daha,Dailekh,"From Kathmandu, drive west via Karnali Highway to reach Daha village."
Hiunchuli Patan,Humla,"From Kathmandu, drive or trek via Pokhara to Hiunchuli Patan near Annapurna region."
Khalanga,Kalikot,"From Kathmandu, drive west via Mahendra Highway to reach Khalanga in Jumla District."
Jhula,Kalikot,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Jhula village."
Sima,Kalikot,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to Sima village."
Birendranagar,Surkhet,"From Kathmandu, drive west via Mahendra Highway and Surkhet Valley roads to reach Birendranagar."
Babiyachaur,Surkhet,"From Kathmandu, drive west via Mahendra Highway and Surkhet Valley roads to reach Babiyachaur."
Sharada,Surkhet,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Sharada in Jumla District."
Bulbule Lake,Surkhet,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Bulbule Lake."
Sinja Valley,Jumla,"From Kathmandu, drive west via Prithvi Highway and Karnali Highway to reach Sinja Valley in Jumla District."
Panchakoshi Area,Surkhet,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach Panchakoshi area."
Kakrebihar,Surkhet,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to Kakrebihar Temple in Bajura."
Bheri River,Dailekh,"From Kathmandu, drive west via Mahendra Highway and Karnali Highway to reach the Bheri River in Surkhet/Jumla area."
Chhayanath Rara,Jajarkot,"From Kathmandu, fly to Nepalgunj and then take a domestic flight to Talcha Airport to access Chhayanath Rara region."
Mount Kanjiroba,Dolpa,"From Kathmandu, fly to Nepalgunj, then Talcha Airport and trek to Mount Kanjiroba in Dolpa District."
Putha Hiunchuli,Dolpa,"From Kathmandu, drive via Pokhara and trek through Annapurna region to Putha Hiunchuli."
Kande Hiun Chuli,Dolpa,"From Kathmandu, drive via Pokhara and trek to Kande Hiun Chuli in Annapurna region."
Chankheli Peak,Humla,"From Kathmandu, fly to Nepalgunj, then Talcha Airport and trek to Chankheli Peak in Dolpa District."
Changdi (Lalung),Dolpa,"From Kathmandu, fly to Nepalgunj or Simikot, then trek to Changdi in Dolpa District."
Kubi Gangri (Kanti Himal),Dolpa,"From Kathmandu, fly to Nepalgunj or Simikot, then trek to Kubi Gangri in Dolpa District."
Fimkof,Dolpa,"From Kathmandu, fly to Nepalgunj, then Talcha Airport and trek to Fimkof in Mugu/Dolpa region."
Phoksundo,Dolpa,"From Kathmandu, fly to Nepalgunj, then Talcha Airport and trek to Phoksundo Lake in Shey Phoksundo NP."
Kanjiroba,Dolpa,"From Kathmandu, fly to Nepalgunj, then take a local flight or drive to Talcha Airport and trek to Kanjiroba."
Patmara,Jumla,"From Kathmandu, fly to Dhangadhi or drive west via Mahendra Highway and take local roads to Patmara."
Mugu,Mugu,"From Kathmandu, fly to Nepalgunj, then to Gamgadi or Talcha Airport and drive locally to Mugu District."
Rara,Mugu,"From Kathmandu, fly to Nepalgunj, then take a domestic flight to Talcha Airport and drive or trek to Rara Lake."
Chhoti Hill Viewpoint,Kailali,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Chhoti Hill Viewpoint in Bajhang."
Bajhang Offbeat Villages,Bajhang,"From Kathmandu, drive west via Mahendra Highway and take local roads to reach remote villages in Bajhang."
Malika Historical Sites,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District to visit Malika historical sites."
Jhulaghat Small Temples,Baitadi / Darchula,"From Kathmandu, drive west via Mahendra Highway to Jhulaghat near the Mahakali River on the India-Nepal border."
Chhoti Shivalaya Temple,Kailali,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District to reach Chhoti Shivalaya Temple."
Gauriganga Waterfall,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Doti District to reach Gauriganga Waterfall."
Doti Hidden Trails,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to explore hidden trails in Doti District."
Rauteli Lake,Darchula,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Rauteli Lake in Bajhang District."
Kailali / Rupandehi,Kailali / Rupandehi,"From Kathmandu, drive west via Mahendra Highway to reach Kailali or Rupandehi Districts."
Doti,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to Doti District."
Bajhang,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District."
Baitadi,Baitadi,"From Kathmandu, drive west via Mahendra Highway and local roads to Baitadi District."
Khaptad Baba Ashram,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Khaptad Baba Ashram in Doti District."
Jhulaghat (Mechinagar border area),Baitadi/Kailali border,"From Kathmandu, drive west via Mahendra Highway to Jhulaghat on the western border near India."
Ghodaghodi Tal,Kailali,"From Kathmandu, fly to Dhangadhi and drive locally to Ghodaghodi Tal in Kailali District."
Ninglashaini Temple,Baitadi,"From Kathmandu, drive west via Mahendra Highway and local roads to Baitadi District to reach Ninglashaini Temple."
Badimalika Temple,Achham,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District to visit Badimalika Temple."
Khaptad Top View,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Khaptad National Park and climb to Khaptad Top View."
Jhulaghat River Viewpoint,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Jhulaghat and visit the river viewpoint."
Mahakali River Minor Spots,Darchula/Baitadi,"From Kathmandu, drive west via Mahendra Highway to Mahakali River in Darchula/Baitadi area."
Doti Tiny Hilltop Viewpoint,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Doti hilltop viewpoint."
Gauriganga River Upper Trek Sites,Bajhang,"From Kathmandu, drive west via Mahendra Highway to Doti District and trek along Gauriganga River upper sites."
Bajhang Hidden Stream,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District to reach hidden streams."
Far Western Cultural Circuit (Doti/Accham sites),Doti/Achham,"From Kathmandu, drive west via Mahendra Highway and local roads to explore Doti and Accham cultural sites."
Api Nampa Conservation Area,Darchula/Bajhang,"From Kathmandu, drive west via Mahendra Highway to Darchula/Bajhang and enter Api Nampa Conservation Area."
Shuklaphanta National Park,Kanchanpur,"From Kathmandu, fly to Dhangadhi and drive locally to Shuklaphanta National Park in Kanchanpur."
Khaptad National Park (western edge),Doti/Kailali area,"From Kathmandu, drive west via Mahendra Highway to reach the western edge of Khaptad National Park in Doti District."
Api Himal Base Camp,Darchula,"From Kathmandu, drive west via Mahendra Highway to Darchula or Bajhang, then trek to Api Himal Base Camp."
Baitadi Micro Temple,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Baitadi District and visit local micro temples."
Lesser Tributaries & Streams,Kailali / Doti / Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to explore small rivers and streams in Far Western districts."
Tripura Sundari Temple,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Bajhang District to visit Tripura Sundari Temple."
Ramaroshan,Achham,"From Kathmandu, drive west via Mahendra Highway to Achham District and local roads to Ramaroshan area."
Khaptad Waterfalls,Doti,"From Kathmandu, drive west via Mahendra Highway to Khaptad National Park and hike to the waterfalls."
Dhangadhi,Kailali,"From Kathmandu, drive west via Mahendra Highway to reach Dhangadhi in Kailali District."
Api Himal Base Camp,Darchula,"From Kathmandu, drive west via Mahendra Highway and trek from Darchula/Bajhang to Api Himal Base Camp."
Api Nampa Conservation Area,Darchula/Bajhang,"From Kathmandu, drive west via Mahendra Highway to Bajhang/Darchula and explore Api Nampa Conservation Area."
Badimalika Temple,Achham,"From Kathmandu, drive west via Mahendra Highway to Bajhang District to revisit Badimalika Temple."
Baitadi,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Baitadi District."
Baitadi Micro Temple,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Baitadi District to revisit micro temples."
Baitadi Minor Temples,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Baitadi District to visit minor temples."
Bajhang,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District."
Bajhang Hidden Stream,Bajhang,"From Kathmandu, drive west via Mahendra Highway to Bajhang and visit hidden streams again."
Bajhang Offbeat Villages,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang to explore offbeat villages again."
Chhoti Hill Viewpoint,Kailali,"From Kathmandu, drive west via Mahendra Highway to Bajhang District to revisit Chhoti Hill Viewpoint."
Chhoti Shivalaya Temple,Kailali,"From Kathmandu, drive west via Mahendra Highway to Bajhang District to revisit Chhoti Shivalaya Temple."
Dhangadhi,Kailali,"From Kathmandu, drive west via Mahendra Highway to Dhangadhi in Kailali District again."
Doti,Doti,"From Kathmandu, drive west via Mahendra Highway to Doti District again."
Doti Hidden Trails,Doti,"From Kathmandu, drive west via Mahendra Highway to Doti District to explore hidden trails again."
Doti Tiny Hilltop Viewpoint,Doti,"From Kathmandu, drive west via Mahendra Highway to Doti District to revisit tiny hilltop viewpoint."
Far Western Cultural Circuit (Doti/Accham sites),Doti/Achham,"From Kathmandu, drive west via Mahendra Highway to Doti and Accham to explore cultural circuit again."
Gauriganga River Upper Trek Sites,Bajhang,"From Kathmandu, drive west via Mahendra Highway to Doti District and trek along Gauriganga River again."
Gauriganga Waterfall,Bajhang,"From Kathmandu, drive west via Mahendra Highway to Doti District to revisit Gauriganga Waterfall."
Ghodaghodi Tal,Kailali,"From Kathmandu, fly to Dhangadhi and drive locally to Ghodaghodi Tal in Kailali District again."
Jhulaghat (Mechinagar border area),Baitadi/Kailali border,"From Kathmandu, drive west via Mahendra Highway to Jhulaghat border area again."
Jhulaghat River Viewpoint,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Jhulaghat to revisit river viewpoint."
Jhulaghat Small Temples,Baitadi / Darchula,"From Kathmandu, drive west via Mahendra Highway to Jhulaghat to revisit small temples."
Kailali / Rupandehi,Kailali / Rupandehi,"From Kathmandu, drive west via Mahendra Highway to reach Kailali or Rupandehi again."
Khaptad Baba Ashram,Doti,"From Kathmandu, drive west via Mahendra Highway to Doti District and then take local roads and trails to Khaptad Baba Ashram."
Khaptad National Park (western edge),Doti/Kailali area,"From Kathmandu, drive west via Mahendra Highway to Doti District and follow trails to the western edge of Khaptad National Park."
Khaptad Top View,Doti,"From Kathmandu, drive west via Mahendra Highway to Doti District and hike to Khaptad Top View inside Khaptad National Park."
Khaptad Waterfalls,Doti,"From Kathmandu, drive west via Mahendra Highway to Doti District and trek locally to Khaptad Waterfalls."
Lesser Tributaries & Streams,Kailali / Doti / Bajhang,"From Kathmandu, drive west via Mahendra Highway through Doti and Bajhang Districts to explore small rivers and streams."
Mahakali River Minor Spots,Darchula/Baitadi,"From Kathmandu, drive west via Mahendra Highway to Darchula, Baitadi, or Doti to reach minor spots along Mahakali River."
Malika Historical Sites,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads to Bajhang District to visit Malika historical sites."
Ninglashaini Temple,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Baitadi District and follow local roads to Ninglashaini Temple."
Ramaroshan,Achham,"From Kathmandu, drive west via Mahendra Highway to Achham District and follow local roads to Ramaroshan area."
Rauteli Lake,Darchula,"From Kathmandu, drive west via Mahendra Highway to Bajhang District and take local trails to Rauteli Lake."
Shuklaphanta National Park,Kanchanpur,"From Kathmandu, fly to Dhangadhi and drive locally to Shuklaphanta National Park in Kanchanpur District."
Tripura Sundari Temple,Baitadi,"From Kathmandu, drive west via Mahendra Highway to Bajhang District to visit Tripura Sundari Temple."
Dipayal Silgadhi,Doti,"From Kathmandu, drive west via Mahendra Highway to reach Dipayal Silgadhi in Doti District."
Gobghat Bazzar,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Gobghat Bazzar in Far Western Nepal."
Mathbora,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Mathbora village in Doti or Bajhang area."
Latamandau,Doti,"From Kathmandu, drive west via Mahendra Highway and take local roads to Latamandau in Bajhang District."
Banedugri Sain,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to Banedugri Sain in Doti District."
Moi,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Moi village in Bajhang or Doti District."
Kailpalmandu,Doti,"From Kathmandu, drive west via Mahendra Highway to reach Kailpalmandu near Darchula/Bajhang District."
Ganeshpur,Doti,"From Kathmandu, drive west via Mahendra Highway and local roads to Ganeshpur in Far Western Nepal."
Malma,Doti,"From Kathmandu, drive west via Mahendra Highway and take local roads to Malma village in Bajhang District."
Amargadhi,Dadeldhura,"From Kathmandu, drive west via Mahendra Highway to Amargadhi in Dadeldhura District."
Bhadrapur,Dadeldhura,"From Kathmandu, drive west via Mahendra Highway to Bhadrapur in Far Western Nepal."
Chipur,Dadeldhura,"From Kathmandu, drive west via Mahendra Highway and local roads to Chipur in Bajhang District."
Mahakali,Darchula,"From Kathmandu, drive west via Mahendra Highway to Mahakali River area in Darchula/Baitadi District."
Pancheshwar,Darchula,"From Kathmandu, drive west via Mahendra Highway to Pancheshwar on the Mahakali River border area."
Kailpal Temple,Doti,"From Kathmandu, drive west via Mahendra Highway to reach Kailpal Temple in Bajhang/Darchula District."
Shibanath,Baitadi,"From Kathmandu, drive west via Mahendra Highway and local roads to Shibanath village in Bajhang District."
Saipal,Bajhang,"From Kathmandu, drive west via Mahendra Highway and local roads, then trek to Saipal Mountain area in Bajhang District."
Khunka Daha,Bajura,"From Kathmandu, drive west via Mahendra Highway and local roads to Khunka Daha in Doti District."
Badimalika,Bajura,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Badimalika Temple in Bajhang District."
Kalapani,Darchula,"From Kathmandu, drive west via Mahendra Highway and local roads to Kalapani in Darchula District near the India-Nepal border."
Om Parvat Viewpoint,Darchula,"From Kathmandu, drive west via Mahendra Highway to Darchula District and trek locally to Om Parvat viewpoint."
Vyas Cave,Darchula,"From Kathmandu, drive west via Mahendra Highway and local roads to reach Vyas Cave near the Mahakali River."
